PlayerType,PlayerName,Dribbling,Pace,PlayerNation,Passing,PlayerClub,PlayerRating,PlayerPosition,Defense,Shooting,Physical
TOTS,Naldo,80,80,Brazil,83,FC Schalke 04,93,CB,95,85,90
TOTS,Leon Goretzka,89,91,Germany,93,FC Schalke 04,93,CM,88,90,87
WORLDCUP,N'Golo Kanté,90,87,France,88,UEFA,93,CDM,91,77,92
RB,Mohamed Salah,97,99,Egypt,89,Liverpool,93,RM,58,96,82
WORLDCUP,Raphaël Varane,85,92,France,80,UEFA,93,CB,95,70,93
TOTS,Radja Nainggolan,91,87,Belgium,90,Roma,93,CM,88,90,90
TOTS,Mark Uth,90,87,Germany,91,TSG 1899 Hoffenheim,93,ST,46,95,80
TOTS,Leon Bailey,96,99,Jamaica,92,Bayer 04 Leverkusen,93,LM,44,93,83
TOTS,Naby Keïta,96,81,Guinea,91,RB Leipzig,93,CM,74,89,80
TOTS,Memphis Depay,96,98,Netherlands,90,Olympique Lyonnais,93,LW,44,95,89
TOTS,Piqué,80,72,Spain,85,FC Barcelona,93,CB,94,74,86
TOTS,Douglas Costa,96,99,Brazil,94,Juventus,93,RW,44,90,78
TOTS,Miralem Pjanić,95,82,Bosnia Herzegovina,97,Juventus,93,CM,88,92,84
WORLDCUP-ICON,Lothar Matthäus,82,89,Germany,90,Icons,93,CM,90,89,85
WORLDCUP-ICON,Thierry Henry,90,94,France,83,Icons,93,ST,53,91,80
TOTS,Falcao,90,82,Colombia,82,AS Monaco Football Club SA,93,ST,47,95,86
TOTS,Marlos,96,94,Ukraine,95,Shakhtar Donetsk,93,RM,61,92,82
TOTS,Luiz Gustavo,86,78,Brazil,85,Olympique de Marseille,93,CDM,93,81,92
TOTS,Kylian Mbappé,96,97,France,90,Paris Saint-Germain,93,RW,60,92,86
TOTS,Allan,91,88,Brazil,88,Napoli,92,CM,92,80,91
TOTS,Milan Škriniar,78,75,Slovakia,80,Inter,92,CB,92,60,88
TOTS,Anderson Talisca,93,88,Brazil,95,Beşiktaş JK,93,CAM,77,95,88
TOTS,Ruud Vormer,86,76,Netherlands,94,Club Brugge KV,93,CM,89,92,91
TOTS,Burak Yılmaz,85,88,Turkey,83,Trabzonspor,92,ST,39,94,89
FOF,Aleksandar Kolarov,89,84,Serbia,92,Roma,92,LB,93,90,90
TOTS,Stefan de Vrij,82,77,Netherlands,77,Lazio,92,CB,94,68,88
TOTS,Marquinhos,81,82,Brazil,80,Paris Saint-Germain,92,CB,93,50,87
FOF,Wayne Rooney,91,90,England,91,Everton,92,CAM,72,96,90
TOTS,Bruno Fernandes,93,89,Portugal,93,Sporting CP,92,CAM,73,92,82
TOTS,Bafétimbi Gomis,86,78,France,80,Galatasaray SK,92,ST,50,94,88
TOTS,Karl Toko-Ekambi,91,88,Cameroon,82,Angers SCO,92,ST,33,92,83
FOF,Coutinho,94,88,Brazil,92,FC Barcelona,92,CM,39,90,71
FOF,Thomas Lemar,97,92,France,94,Atlético Madrid,92,LM,70,91,81
FOF,Pedro,91,92,Spain,89,Chelsea,92,RW,41,89,70
FOF,Ivan Rakitić,92,72,Croatia,96,FC Barcelona,92,CM,66,92,72
FOF,Olivier Giroud,91,70,France,88,Chelsea,92,ST,48,95,94
FOF,Lucas Hernández,78,85,France,83,Atlético Madrid,92,LB,94,65,90
FUTTIE-WINNER,Kostas Manolas,75,88,Greece,78,Roma,92,CB,92,30,90
FOF,Antonio Valencia,90,94,Ecuador,88,Manchester United,92,RB,89,78,92
FOF,Clint Dempsey,93,81,United States,90,Seattle Sounders FC,92,CF,52,92,86
FOF,Andreas Granqvist,81,74,Sweden,83,FC Krasnodar,92,CB,95,79,91
FOF,Ivan Perišić,92,92,Croatia,90,Inter,92,LF,48,91,85
FUTTIE-WINNER,Hirving Lozano,97,99,Mexico,92,PSV,92,ST,54,95,83
NIF,Lionel Messi,95,89,Argentina,86,FC Barcelona,93,RW,26,90,61
FOF,Samuel Umtiti,83,83,France,83,FC Barcelona,91,CB,91,72,87
FUTTIE-WINNER,Šime Vrsaljko,89,92,Croatia,92,Atlético Madrid,92,RB,91,72,90
WORLDCUP-ICON,Carles Puyol,58,70,Spain,68,Icons,92,CB,94,45,90
FUTTIE-WINNER,Anthony Martial,94,95,France,88,Manchester United,91,LM,45,92,88
NIF,Neymar,94,92,Brazil,79,Paris Saint-Germain,92,LW,30,84,60
FUTTIE-WINNER,Romain Alessandrini,95,99,France,91,LA Galaxy,92,RM,52,94,86
IF,Paul Pogba,93,82,France,93,Manchester United,92,CM,76,88,92
FUTTIE-WINNER,Tiémoué Bakayoko,83,82,France,82,Chelsea,91,CDM,92,75,94
IF,Thomas Müller,86,85,Germany,87,FC Bayern München,91,CAM,53,93,81
NIF,Luis Suárez,86,82,Uruguay,79,FC Barcelona,92,ST,42,90,81
ICON,Alessandro Del Piero,92,83,Italy,89,Icons,92,CF,43,92,67
ICON,Javier Zanetti,85,86,Argentina,88,Icons,92,RB,90,63,81
FUTTIE-WINNER,Marcus Rashford,94,98,England,91,Manchester United,91,ST,46,93,86
IF,Eden Hazard,94,91,Belgium,87,Chelsea,92,CAM,33,86,70
ICON,Carles Puyol,58,70,Spain,68,Icons,92,CB,94,45,90
ICON,Alessandro Nesta,67,72,Italy,65,Icons,92,CB,94,42,86
IF,Robert Lewandowski,88,82,Poland,77,FC Bayern München,92,ST,39,90,84
SBC,Edinson Cavani,87,83,Uruguay,81,Paris Saint-Germain,92,ST,48,91,86
ICON,Dennis Bergkamp,90,84,Netherlands,86,Icons,92,CF,37,91,78
OTW,Alexis Sánchez,92,90,Chile,86,Manchester United,92,LM,44,91,83
ICON,Paolo Maldini,68,82,Italy,74,Icons,92,CB,95,56,81
IF,Kevin De Bruyne,89,77,Belgium,92,Manchester City,92,CM,50,87,78
FOF,Blaise Matuidi,80,84,France,82,Juventus,91,CM,93,75,96
PTGS,Thomas Lemar,97,92,France,94,Atlético Madrid,92,LW,70,91,81
IF,David Silva,93,73,Spain,93,Manchester City,92,CM,43,80,68
IF,Sergio Agüero,92,90,Argentina,82,Manchester City,92,ST,27,93,79
IF,Gonzalo Higuaín,87,82,Argentina,72,Juventus,92,ST,27,91,78
POTM,Mohamed Salah,95,98,Egypt,89,Liverpool,92,RW,58,92,82
FUT-BIRTHDAY,Eden Hazard,95,93,Belgium,89,Chelsea,92,RW,36,87,70
NIF,Kevin De Bruyne,87,76,Belgium,90,Manchester City,91,CAM,48,85,76
IF,Paulo Dybala,94,89,Argentina,89,Juventus,92,LW,30,92,73
PTGS,Willian,94,94,Brazil,93,Chelsea,91,RW,56,91,75
IF,Mohamed Salah,95,98,Egypt,87,Liverpool,91,RW,55,92,80
IF,Gareth Bale,89,96,Wales,87,Real Madrid CF,91,CF,59,91,81
SBC-PREMIUM,Kaká,95,85,Brazil,89,Orlando City Soccer Club,92,CAM,32,91,73
IF,Toni Kroos,85,52,Germany,92,Real Madrid CF,92,CM,75,86,72
IF,Antoine Griezmann,91,89,France,84,Atlético Madrid,91,ST,35,89,74
TOTS,Fabinho,86,80,Brazil,88,AS Monaco Football Club SA,91,CDM,91,80,90
MOTM,Christian Eriksen,89,79,Denmark,93,Tottenham Hotspur,91,LM,51,87,68
TOTS,Niklas Süle,68,72,Germany,77,FC Bayern München,91,CB,92,60,87
SBC,Alexis Sánchez,91,88,Chile,83,Manchester United,91,ST,42,88,82
TOTS,Thomas Lemar,95,91,France,92,AS Monaco Football Club SA,91,LM,68,88,79
SBC,Luka Modrić,91,75,Croatia,89,Real Madrid CF,91,CM,75,81,68
IF,Paul Pogba,92,80,France,92,Manchester United,91,CM,72,85,91
TOTS,Alejandro Gómez,95,96,Argentina,91,Atalanta,91,CF,38,89,64
WORLDCUP,Samuel Umtiti,84,85,France,86,UEFA,91,CB,93,80,91
IF,Pierre-Emerick Aubameyang,87,99,Gabon,82,Arsenal,91,LW,40,90,75
TOTS,Bas Dost,75,74,Netherlands,70,Sporting CP,91,ST,54,95,93
TOTS,Salif Sané,83,76,Senegal,82,Hannover 96,91,CB,92,60,91
TOTS,Gonçalo Guedes,91,93,Portugal,93,Valencia CF,91,LM,55,91,83
TOTS,Riyad Mahrez,96,90,Algeria,92,Leicester City,91,RM,34,90,70
TOTS,Wendell,90,96,Brazil,87,Bayer 04 Leverkusen,91,LB,90,70,85
WORLDCUP,Toni Kroos,83,65,Germany,90,UEFA,91,CM,74,88,71
TOTS,Thorgan Hazard,93,90,Belgium,92,Borussia Mönchengladbach,91,LM,48,91,78
TOTS,Djaniny,92,95,Cape Verde Islands,88,Santos Laguna,91,RW,50,93,89
TOTS,Fedor Smolov,90,93,Russia,81,FC Krasnodar,91,ST,40,93,82
FOF,Nani,93,89,Portugal,90,Lazio,90,LW,28,89,72
TOTS,Avilés Hurtado,93,96,Colombia,86,Monterrey,91,LW,53,92,82
TOTS,Yacine Brahimi,96,92,Algeria,91,FC Porto,91,LM,48,90,73
WORLDCUP-ICON,Laurent Blanc,78,79,France,70,Icons,91,CB,92,69,86
NIF,Eden Hazard,93,90,Belgium,85,Chelsea,91,LW,32,83,68
WORLDCUP-ICON,Ronaldinho,92,91,Brazil,88,Icons,91,CAM,36,86,79
FOF,Andreas Granqvist,70,70,Sweden,75,FC Krasnodar,90,CB,91,75,87
FOF,Dani Alves,89,90,Brazil,90,Paris Saint-Germain,90,RB,85,78,76
FOF,Michael Bradley,90,80,United States,90,Toronto FC,90,CDM,86,88,93
FOF,Mário Fernandes,87,94,Russia,91,CSKA Moscow,90,RWB,91,79,87
FOF,Cesc Fàbregas,87,74,Spain,96,Chelsea,90,CM,70,85,70
FOF,Ezequiel Garay,74,70,Argentina,78,Valencia CF,90,CB,92,72,88
FOF,Samuel Eto'o,92,91,Cameroon,89,Atiker Konyaspor,90,ST,47,95,85
FOF,Raphaël Varane,80,85,France,75,Real Madrid CF,90,CB,92,60,86
FOF,Artem Dzyuba,82,86,Russia,80,Zenit St. Petersburg,90,ST,39,93,95
FOF,Emmanuel Adebayor,90,87,Togo,80,Medipol Başakşehir FK,90,ST,50,93,90
FOF,Paulinho,90,83,Brazil,88,FC Barcelona,90,CM,85,89,84
FOF,Takashi Inui,95,94,Japan,92,SD Eibar,90,LM,48,90,75
NIF,Robert Lewandowski,86,81,Poland,75,FC Bayern München,91,ST,38,88,82
ICON,Diego Maradona,94,93,Argentina,87,Icons,91,CAM,38,87,76
SBC-PREMIUM,Jermain Defoe,91,92,England,80,Bournemouth,90,ST,36,94,80
FOF,Benjamin Pavard,93,89,France,92,VfB Stuttgart,90,RB,91,65,83
FOF,Kieran Trippier,89,89,England,96,Tottenham Hotspur,90,RWB,91,76,87
NIF,Gonzalo Higuaín,83,79,Argentina,70,Milan,90,ST,25,87,74
IF,Zlatan Ibrahimović,87,68,Sweden,84,LA Galaxy,90,ST,35,91,85
FOF,Aaron Mooy,89,82,Australia,91,Huddersfield Town,90,CDM,81,89,89
ICON,Pelé,93,94,Brazil,88,Icons,91,CF,53,89,73
ICON,Ronaldinho,92,91,Brazil,88,Icons,91,CAM,36,86,79
IF,Mohamed Salah,94,97,Egypt,86,Liverpool,90,RW,54,90,79
IF,Paul Pogba,90,79,France,91,Manchester United,90,CM,70,82,90
ICON,Roberto Carlos,81,92,Brazil,84,Icons,91,LB,86,83,86
IF,Gareth Bale,88,95,Wales,85,Real Madrid CF,90,ST,58,89,79
IF,Dries Mertens,93,93,Belgium,87,Napoli,90,ST,39,90,63
TOTGS,Harry Kane,85,75,England,79,Tottenham Hotspur,90,ST,44,92,86
FUT-BIRTHDAY,Gareth Bale,87,95,Wales,85,Real Madrid CF,90,LB,80,88,79
FUT-BIRTHDAY,Wayne Rooney,84,83,England,88,Everton,90,ST,62,90,86
IF,Edinson Cavani,84,80,Uruguay,77,Paris Saint-Germain,90,ST,45,88,84
TOTS,Adrien Rabiot,86,76,France,90,Paris Saint-Germain,90,CM,85,82,89
MOTM,Iniesta,93,75,Spain,93,FC Barcelona,90,LM,61,79,62
SBC,Zlatan Ibrahimović,86,70,Sweden,86,LA Galaxy,90,ST,34,90,85
EUMOTM,Antoine Griezmann,89,88,France,82,Atlético Madrid,90,ST,33,88,72
FUT-BIRTHDAY,Marco Reus,91,92,Germany,88,Borussia Dortmund,90,CF,44,90,70
IF,Pierre-Emerick Aubameyang,85,98,Gabon,80,Arsenal,90,ST,39,88,73
MOTM,Thomas Müller,84,82,Germany,84,FC Bayern München,90,CF,50,91,78
TOTS,Sebastian Giovinco,93,90,Italy,88,Toronto FC,90,CF,33,92,67
TOTS,Ashley Young,92,90,England,91,Manchester United,90,LB,88,85,83
TOTS,Sadio Mané,92,97,Senegal,88,Liverpool,90,LW,46,90,83
WORLDCUP,Olivier Giroud,88,67,France,86,UEFA,90,ST,47,93,92
HERO,Christian Eriksen,88,77,Denmark,92,Tottenham Hotspur,90,CAM,49,85,67
TOTS,Daniel Caligiuri,91,88,Italy,92,FC Schalke 04,90,RWB,80,89,85
WORLDCUP,Sergio Ramos,71,76,Spain,71,UEFA,90,CB,89,63,83
TOTS,Lucas Hernández,73,83,France,78,Atlético Madrid,90,LB,91,60,88
WORLDCUP,Mats Hummels,73,66,Germany,76,UEFA,90,CB,91,58,76
WORLDCUP,Paul Pogba,92,80,France,92,UEFA,90,CM,73,89,91
TOTS,Philipp Max,88,89,Germany,95,FC Augsburg,90,LB,88,65,83
TOTS,Serge Gnabry,93,97,Germany,90,TSG 1899 Hoffenheim,90,ST,52,93,83
TOTS,Maicon,70,70,Brazil,80,Galatasaray SK,90,CB,92,73,91
TOTS,Alireza Jahanbakhsh,87,95,Iran,91,AZ,90,RW,50,92,82
TOTS,Andrea Masiello,70,73,Italy,67,Atalanta,89,CB,92,50,84
FOF,Patrice Evra,87,89,France,85,West Ham United,89,LB,90,60,80
TOTS,Rony Lopes,92,90,Portugal,88,AS Monaco Football Club SA,89,RM,42,91,70
TOTS,Moussa Marega,80,94,Mali,70,FC Porto,90,ST,43,91,93
WORLDCUP,Benjamin Pavard,87,86,France,88,UEFA,89,RB,92,70,90
TOTS,Edin Višća,91,96,Bosnia Herzegovina,93,Medipol Başakşehir FK,90,RM,48,89,72
FOF,José María Giménez,66,75,Uruguay,65,Atlético Madrid,89,CB,90,54,86
FOF,Lukas Podolski,89,87,Germany,86,Vissel Kobe,89,ST,45,94,87
FOF,Victor Moses,93,93,Nigeria,83,Chelsea,89,RWB,89,88,86
FOF,John Stones,86,82,England,93,Manchester City,89,CB,94,52,89
FOF,Javier Hernández,88,87,Mexico,75,West Ham United,89,ST,36,91,68
FOF,Denis Cheryshev,88,89,Russia,86,Villarreal CF,89,LM,60,91,80
FOF,Ahmed Musa,93,97,Nigeria,82,CSKA Moscow,89,ST,36,91,73
FOF,Emil Forsberg,89,83,Sweden,92,RB Leipzig,89,LM,34,88,72
FOF,Luisão,71,55,Brazil,74,SL Benfica,89,CB,90,65,87
FOF,Marcos Rojo,80,78,Argentina,80,Manchester United,89,CB,89,75,90
FOF,Xherdan Shaqiri,92,90,Switzerland,91,Stoke City,89,RM,48,89,75
FOF,Ousmane Dembélé,93,95,France,84,FC Barcelona,89,RM,36,86,65
IF,Romelu Lukaku,80,86,Belgium,76,Manchester United,89,ST,39,91,87
FOF,Mario Mandžukić,85,82,Croatia,82,Juventus,89,ST,69,89,92
FOF,Pablo Zabaleta,87,75,Argentina,84,West Ham United,89,RB,92,68,89
WORLDCUP,Ivan Rakitić,92,76,Croatia,93,UEFA,89,CM,72,93,93
NIF,Sergio Ramos,72,76,Spain,71,Real Madrid CF,90,CB,88,63,83
NIF,Gonzalo Higuaín,83,79,Argentina,70,Juventus,90,ST,25,87,74
NIF,Toni Kroos,81,50,Germany,88,Real Madrid CF,90,CM,73,81,70
NIF,Eden Hazard,92,90,Belgium,84,Chelsea,90,LW,32,82,66
ICON,Rio Ferdinand,65,83,England,67,Icons,90,CB,91,49,86
ICON,Ruud Gullit,86,88,Netherlands,88,Icons,90,CM,80,88,87
ICON,Thierry Henry,87,90,France,85,Icons,90,LW,51,88,77
ICON,Ronaldo,91,94,Brazil,77,Icons,90,ST,42,90,72
ICON,Deco,90,83,Portugal,91,Icons,90,CM,51,79,70
ICON,Jay-Jay Okocha,94,87,Nigeria,84,Icons,90,CAM,40,83,60
ICON,Carles Puyol,58,72,Spain,66,Icons,90,CB,92,45,91
ICON,Alan Shearer,78,84,England,75,Icons,89,ST,48,90,84
IF,Christian Eriksen,87,76,Denmark,91,Tottenham Hotspur,89,CAM,48,82,65
IF,Pierre-Emerick Aubameyang,83,97,Gabon,77,Borussia Dortmund,89,ST,38,86,72
IF,Harry Kane,83,74,England,76,Tottenham Hotspur,89,ST,43,91,85
PTGS,Emil Forsberg,89,83,Sweden,92,RB Leipzig,89,LM,34,88,72
IF,Thiago,91,73,Spain,88,FC Bayern München,89,CM,63,77,65
IF,Edinson Cavani,83,79,Uruguay,75,Paris Saint-Germain,89,ST,43,87,83
SCREAM,Mesut Özil,86,74,Germany,87,Arsenal,89,CAM,24,76,63
IF,Dries Mertens,92,92,Belgium,85,Napoli,89,ST,38,87,61
IF,Mesut Özil,88,72,Germany,89,Arsenal,89,RF,25,76,60
IF,Paul Pogba,88,77,France,89,Manchester United,89,CDM,69,81,89
IF,Antoine Griezmann,88,87,France,80,Atlético Madrid,89,CAM,32,87,70
POTM,Mohamed Salah,93,96,Egypt,84,Liverpool,89,ST,53,89,78
NIF,Alexis Sánchez,89,86,Chile,80,Manchester United,89,LM,40,84,78
ICON,Michael Laudrup,90,82,Denmark,89,Icons,89,LW,36,77,62
IF,Thiago Silva,75,73,Brazil,75,Paris Saint-Germain,89,CB,89,58,81
NIF,David Silva,89,68,Spain,88,Manchester City,89,CAM,39,74,62
NIF,Paulo Dybala,91,86,Argentina,84,Juventus,89,CAM,25,86,67
FUTMAS,Zlatan Ibrahimović,84,66,Sweden,85,Manchester United,89,ST,33,89,83
MOTM,Arjen Robben,91,87,Netherlands,83,FC Bayern München,89,RM,33,88,65
IF,Jérôme Boateng,69,76,Germany,75,FC Bayern München,89,CB,90,51,86
SBC,Marek Hamšík,87,76,Slovakia,87,Napoli,89,CM,72,84,73
NIF,Mats Hummels,73,65,Germany,76,FC Bayern München,89,CB,90,58,77
